runtests('tests')

Всего проверок: 56
Пройдено: 56
Ошибок: 0
Незавершенных: 0

test_actuator_cmd_to_motor_radps/testLinearNorm01Mapping | passed=1 | failed=0 | incomplete=0 | duration_s=0.237048
test_actuator_cmd_to_motor_radps/testInputSaturationHonorsMotorLimits | passed=1 | failed=0 | incomplete=0 | duration_s=0.024769
test_altitude_filter_step/testAltitudeEstimateConvergesToBaro | passed=1 | failed=0 | incomplete=0 | duration_s=0.085990
test_altitude_filter_step/testZeroVerticalAccelerationKeepsVzBounded | passed=1 | failed=0 | incomplete=0 | duration_s=0.049163
test_ardupilot_decode_sitl_output_packet/testDecodePacketWith16Channels | passed=1 | failed=0 | incomplete=0 | duration_s=0.068426
test_ardupilot_decode_sitl_output_packet/testDecodePacketWith32Channels | passed=1 | failed=0 | incomplete=0 | duration_s=0.005109
test_ardupilot_decode_sitl_output_packet/testDecodeShortPacketReturnsInvalidWithoutThrow | passed=1 | failed=0 | incomplete=0 | duration_s=0.014097
test_ardupilot_default_json_config/testDefaultConfigContainsRequiredFields | passed=1 | failed=0 | incomplete=0 | duration_s=0.053756
test_ardupilot_encode_json_fdm_text/testJsonContainsRequiredFieldsAndNewline | passed=1 | failed=0 | incomplete=0 | duration_s=0.089001
test_ardupilot_json_udp_availability/testAvailabilityReturnsStructuredResult | passed=1 | failed=0 | incomplete=0 | duration_s=0.052251
test_ardupilot_loopback_runner/testLoopbackRunnerReturnsPacketsAndBoundedQuatNorms | passed=1 | failed=0 | incomplete=0 | duration_s=0.341758
test_ardupilot_make_sitl_start_command/testCommandContainsJsonModel | passed=1 | failed=0 | incomplete=0 | duration_s=0.058492
test_ardupilot_pack_json_fdm_packet/testPacketContainsRequiredTruthAndSensorFields | passed=1 | failed=0 | incomplete=0 | duration_s=0.056698
test_ardupilot_pwm_to_motor_radps/testLinearMappingAndSaturation | passed=1 | failed=0 | incomplete=0 | duration_s=0.056086
test_attitude_cf_step/testIdentityZeroGyroPreservesOrientation | passed=1 | failed=0 | incomplete=0 | duration_s=0.053683
test_attitude_cf_step/testQuaternionNormRemainsNearUnity | passed=1 | failed=0 | incomplete=0 | duration_s=0.019205
test_attitude_cf_step/testLevelHoverKeepsRollPitchNearZero | passed=1 | failed=0 | incomplete=0 | duration_s=0.025372
test_attitude_cf_step/testAcceleratedPitchDoesNotCollapseBackToLevel | passed=1 | failed=0 | incomplete=0 | duration_s=0.015507
test_baro_measure/testBaroAltitudeMatchesNegativeNedZ | passed=1 | failed=0 | incomplete=0 | duration_s=0.049497
test_baro_measure/testPressureDecreasesWithAltitude | passed=1 | failed=0 | incomplete=0 | duration_s=0.000978
test_build_mil_top/testBuildMilTopCreatesThinShellModel | passed=1 | failed=0 | incomplete=0 | duration_s=12.784900
test_build_sil_top/testBuildSilTopCreatesThinBridgeModel | passed=1 | failed=0 | incomplete=0 | duration_s=2.865591
