time_s,altitude_ref_m,altitude_m,altitude_est_m,vertical_speed_ref_mps,vertical_speed_mps,vertical_speed_est_mps,pitch_ref_rad,pitch_rad,pitch_est_rad,pitch_ref_deg,pitch_deg,pitch_est_deg,pitch_estimation_error_deg,accel_correction_weight,accel_consistency_metric,quat_norm_true,quat_norm_est,motor_cmd_1_radps,motor_speed_1_radps,motor_cmd_2_radps,motor_speed_2_radps,motor_cmd_3_radps,motor_speed_3_radps,motor_cmd_4_radps,motor_speed_4_radps
0,0,-0,0,3,-0,0,0,0,0,0,0,0,0,0,NaN,1,1,632.702536742188,0,632.702536742188,0,632.702536742188,0,632.702536742188,0
0.01,0.03,-0,-0.0008946522624,3,-0.092976,-0.092093843712,0,0,3.46944695195361e-20,0,0,1.9878466759147e-18,-1.9878466759147e-18,0,9.2976,1,1,632.702536742188,126.540507348438,632.702536742188,126.540507348438,632.702536742188,126.540507348438,632.702536742188,126.540507348438
0.02,0.06,-0.00092976,-0.00256607796083835,3,-0.17447424,-0.171950308182381,0,3.46944695195361e-20,6.93889390390723e-20,0,1.9878466759147e-18,3.9756933518294e-18,-1.9878466759147e-18,0,8.149824,1,1,632.702536742188,227.772913227188,632.702536742188,227.772913227188,632.702536742188,227.772913227188,632.702536742188,227.772913227188
0.03,0.09,-0.0026745024,-0.00487431947410798,3,-0.2420679936,-0.237287531390064,0,6.93889390390723e-20,1.04083408558608e-19,0,3.9756933518294e-18,5.96354002774409e-18,-1.9878466759147e-18,0,6.75937536,1,1,632.702536742188,308.758837930188,632.702536742188,308.758837930188,632.702536742188,308.758837930188,632.702536742188,308.758837930188
0.04,0.12,-0.005095182336,-0.0076785180356321,3,-0.295515899904,-0.288010069290506,0,1.04083408558608e-19,-1.38777878078145e-19,0,5.96354002774409e-18,-7.95138670365879e-18,1.39149267314029e-17,0,5.3447906304,1,1,632.702536742188,373.547577692588,632.702536742188,373.547577692588,632.702536742188,373.547577692588,632.702536742188,373.547577692588
0.05,0.15,-0.00805034133504,-0.0108478122768315,3,-0.33571288313856,-0.32514879750562,0,-1.38777878078145e-19,7.28583859910259e-19,0,-7.95138670365879e-18,4.17447801942087e-17,-4.96961668978674e-17,0,4.019698323456,1,1,632.702536742188,425.378569502508,632.702536742188,425.378569502508,632.702536742188,425.378569502508,632.702536742188,425.378569502508
0.06,0.18,-0.0114074701664256,-0.01426618897635,3,-0.364071210968678,-0.350236998413992,0,7.28583859910259e-19,2.70616862252382e-18,0,4.17447801942087e-17,1.55052040721346e-16,-1.13307260527138e-16,0,2.83583278301184,1,1,632.702536742188,466.843362950444,632.702536742188,466.843362950444,632.702536742188,466.843362950444,632.702536742188,466.843362950444
0.07,0.21,-0.0150481822761124,-0.0178338879118718,3,-0.382166347627954,-0.364954698770656,0,2.70616862252382e-18,5.79397640976254e-18,0,1.55052040721346e-16,3.31970394877755e-16,-1.76918354156408e-16,0,1.80951366592758,1,1,632.702536742188,500.015197708793,632.702536742188,500.015197708793,632.702536742188,500.015197708793,632.702536742188,500.015197708793
0.08,0.24,-0.0188698457523919,-0.0214669411135033,3,-0.391543880568291,-0.370935961172597,0,5.79397640976254e-18,8.25112373150346e-18,0,3.31970394877755e-16,4.72754566055383e-16,-1.40784171177629e-16,0.226828158275448,0.937753294033651,1,1,632.702536742188,526.552665515472,632.702536742188,526.552665515472,632.702536742188,526.552665515472,632.702536742188,526.552665515472
0.09,0.27,-0.0227852845580748,-0.0250957899774864,3,-0.393622818032826,-0.369673484795549,0,8.32667268468867e-18,1.03524672061724e-17,0,4.77083202219527e-16,5.9315267846127e-16,-1.16069476241742e-16,1,0.207893746453536,1,1,632.702536742188,547.782639760815,632.702536742188,547.782639760815,632.702536742188,547.782639760815,632.702536742188,547.782639760815
0.1,0.3,-0.0267215127384031,-0.028663529707169,3,-0.389655191116305,-0.362479899113609,0,1.08593689596148e-17,1.39735689713977e-17,0,6.221960095613e-16,8.00626526796052e-16,-1.78430517234751e-16,0.991253093061543,0.396762691652139,1,1,632.702536742188,564.76661915709,632.702536742188,564.76661915709,632.702536742188,564.76661915709,632.702536742188,564.76661915709
0.11,0.33,-0.0306180646495661,-0.0321240892620603,3,-0.380717392374672,-0.350480873165006,0,1.50573997714787e-17,1.79565599362861e-17,0,8.62725457346979e-16,1.0288350989229e-15,-1.66109641575917e-16,0.295846058602901,0.893779874163288,1,1,632.702536742188,578.353802674109,632.702536742188,578.353802674109,632.702536742188,578.353802674109,632.702536742188,578.353802674109
0.12,0.36,-0.0344252385733129,-0.0354405092676399,3,-0.367718387167979,-0.334625012391813,0,1.92554305833426e-17,2.215459074815e-17,0,1.10325490513266e-15,1.26936454670857e-15,-1.66109641575917e-16,0,1.29990052066924,1,1,632.702536742188,589.223549487725,632.702536742188,589.223549487725,632.702536742188,589.223549487725,632.702536742188,589.223549487725
0.13,0.39,-0.0381024224449927,-0.0385833940285113,3,-0.351415972626058,-0.315701640018095,0,2.34534613952064e-17,2.85730676092642e-17,0,1.34378435291834e-15,1.63711618175279e-15,-2.93331828834457e-16,0,1.6302414541921,1,1,632.702536742188,597.919346938618,632.702536742188,597.919346938618,632.702536742188,597.919346938618,632.702536742188,597.919346938618
0.14,0.42,-0.0416165821712532,-0.0415295641137755,3,-0.332435986351518,-0.294361336914248,0,2.98719382563206e-17,3.49915444703783e-17,0,1.71153598796255e-15,2.00486781679701e-15,-2.93331828834457e-16,0,1.89799862745398,1,1,632.702536742188,604.875984899332,632.702536742188,604.875984899332,632.702536742188,604.875984899332,632.702536742188,604.875984899332
0.15,0.45,-0.0449409420347684,-0.0442609086441208,3,-0.311291642361645,-0.271136416783657,0,3.62904151174348e-17,3.91895752822422e-17,0,2.07928762300677e-15,2.24539726458269e-15,-1.66109641575917e-16,0,2.11443439898737,1,1,632.702536742188,610.441295267903,632.702536742188,610.441295267903,632.702536742188,610.441295267903,632.702536742188,610.441295267903
0.16,0.48,-0.0480538584583849,-0.0467634224743353,3,-0.288401539988791,-0.246459895851813,0,4.04884459292987e-17,3.89467139956055e-17,0,2.31981707079245e-15,2.23148233785129e-15,8.83347329411646e-17,0,2.28901023728537,1,1,632.702536742188,614.89354356276,632.702536742188,614.89354356276,632.702536742188,614.89354356276,632.702536742188,614.89354356276
0.17,0.51,-0.0509378738582728,-0.0490264073951848,3,-0.264105696694697,-0.220682327734642,0,4.02455846426619e-17,3.87038527089687e-17,0,2.30590214406105e-15,2.21756741111988e-15,8.83347329411646e-17,0,2.42958432940941,1,1,632.702536742188,618.455342198646,632.702536742188,618.455342198646,632.702536742188,618.455342198646,632.702536742188,618.455342198646
0.18,0.54,-0.0535789308252197,-0.0510418148732499,3,-0.238679414766103,-0.194086334957945,0,4.00027233560252e-17,3.84609914223319e-17,0,2.29198721732965e-15,2.20365248438848e-15,8.83347329411646e-17,0,2.54262819285944,1,1,632.702536742188,621.304781107354,632.702536742188,621.304781107354,632.702536742188,621.304781107354,632.702536742188,621.304781107354
0.19,0.57,-0.0559657249728808,-0.0528037086433341,3,-0.212345040555503,-0.166898916658719,0,3.97598620693884e-17,3.82181301356952e-17,0,2.27807229059824e-15,2.18973755765708e-15,8.83347329411646e-17,0,2.63343742105997,1,1,632.702536742188,623.584332234321,632.702536742188,623.584332234321,632.702536742188,623.584332234321,632.702536742188,623.584332234321
0.2,0.6,-0.0580891753784358,-0.0543078274362598,3,-0.18528179803968,-0.139301733276893,0,3.95170007827517e-17,3.79752688490584e-17,0,2.26415736386684e-15,2.17582263092568e-15,8.83347329411646e-17,0,2.70632425158233,1,1,632.702536742188,625.407973135895,632.702536742188,625.407973135895,632.702536742188,625.407973135895,632.702536742188,625.407973135895
