time_s,altitude_ref_m,altitude_m,altitude_est_m,vertical_speed_ref_mps,vertical_speed_mps,vertical_speed_est_mps,pitch_ref_rad,pitch_rad,pitch_est_rad,pitch_ref_deg,pitch_deg,pitch_est_deg,quat_norm_true,quat_norm_est,motor_cmd_1_radps,motor_speed_1_radps,motor_cmd_2_radps,motor_speed_2_radps,motor_cmd_3_radps,motor_speed_3_radps,motor_cmd_4_radps,motor_speed_4_radps
0,0,-0,0,4,-0,0,0,0,0,0,0,0,1,1,644.932166975722,0,644.932166975722,0,644.932166975722,0,644.932166975722,0
0.01,0.04,-0,-0.0008927277824,4,-0.092776,-0.091895741312,0,0,-6.66133814775094e-20,0,0,-3.81666561775622e-18,1,1,644.932166975722,128.986433395144,644.932166975722,128.986433395144,644.932166975722,128.986433395144,644.932166975722,128.986433395144
0.02,0.08,-0.00092776,-0.00255600967950459,4,-0.17362624,-0.171112222273952,0,-6.93889390390723e-20,-9.29922805426031e-19,0,-3.9756933518294e-18,-5.32806520238768e-17,1,1,644.932166975722,232.17558011126,644.932166975722,232.17558011126,644.932166975722,232.17558011126,644.932166975722,232.17558011126
0.03,0.12,-0.0026640224,-0.00484471685924096,4,-0.2400292736,-0.235277913034294,0,-9.71445146547012e-19,-2.29160690423669e-18,0,-5.56597069256115e-17,-1.31299403915802e-16,1,1,644.932166975722,314.726897484152,644.932166975722,314.726897484152,644.932166975722,314.726897484152,644.932166975722,314.726897484152
0.04,0.16,-0.005064315136,-0.00761276962778262,4,-0.291734319104,-0.284293003969197,0,-2.42861286636753e-18,-4.66463774273507e-18,0,-1.39149267314029e-16,-2.6726405561615e-16,1,1,644.932166975722,380.767951382466,644.932166975722,380.767951382466,644.932166975722,380.767951382466,644.932166975722,380.767951382466
0.05,0.2,-0.00798165832704,-0.0107244614352861,4,-0.32967123142656,-0.319227932150869,0,-4.9960036108132e-18,-8.00856145133366e-18,0,-2.86249921331717e-16,-4.58856771132584e-16,1,1,644.932166975722,433.600794501117,644.932166975722,433.600794501117,644.932166975722,433.600794501117,644.932166975722,433.600794501117
0.06,0.24,-0.0112783706413056,-0.014059499052299,4,-0.355307401872998,-0.341675118372767,0,-8.67361737988404e-18,-1.22845423152285e-17,0,-4.96961668978674e-16,-7.0385242791246e-16,1,1,644.932166975722,475.867068996038,644.932166975722,475.867068996038,644.932166975722,475.867068996038,644.932166975722,475.867068996038
0.07,0.28,-0.0148314446600356,-0.0175144623698189,4,-0.370279788206719,-0.353379425022993,0,-1.346145417358e-17,-1.85211121518478e-17,0,-7.71284510254903e-16,-1.06118155818934e-15,1,1,644.932166975722,509.680088591975,644.932166975722,509.680088591975,644.932166975722,509.680088591975,644.932166975722,509.680088591975
0.08,0.32,-0.0185342425421028,-0.0210023258032096,4,-0.3761943052587,-0.356037928178409,0,-2.04697370165263e-17,-2.55740332986425e-17,0,-1.17282953878967e-15,-1.46528417313924e-15,1,1,644.932166975722,536.730504268724,644.932166975722,536.730504268724,644.932166975722,536.730504268724,644.932166975722,536.730504268724
0.09,0.36,-0.0222961855946898,-0.0244510215828347,4,-0.374525348010688,-0.351200797102932,0,-2.85882428840978e-17,-3.34106517032055e-17,0,-1.63798566095371e-15,-1.91428933337525e-15,1,1,644.932166975722,558.370836810124,644.932166975722,558.370836810124,644.932166975722,558.370836810124,644.932166975722,558.370836810124
0.1,0.4,-0.0260414390747967,-0.0278016158441282,4,-0.366573816842936,-0.340231079523781,0,-3.78169717762944e-17,-4.41312476825065e-17,0,-2.16675287674702e-15,-2.52853423685412e-15,1,1,644.932166975722,575.683102843243,644.932166975722,575.683102843243,644.932166975722,575.683102843243,644.932166975722,575.683102843243
0.11,0.44,-0.029707177243226,-0.0310064177258607,4,-0.353458118072356,-0.324297544230479,0,-5.03763697423665e-17,-5.65546480299157e-17,0,-2.88635337342814e-15,-3.24034264396203e-15,1,1,644.932166975722,589.532915669739,644.932166975722,589.532915669739,644.932166975722,589.532915669739,644.932166975722,589.532915669739
0.12,0.48,-0.0332417584239496,-0.0340271902691391,4,-0.336122695800609,-0.304384966450301,0,-6.51562137576889e-17,-7.27443687779892e-17,0,-3.7331760573678e-15,-4.16794531432202e-15,1,1,644.932166975722,600.612765930935,644.932166975722,600.612765930935,644.932166975722,600.612765930935,644.932166975722,600.612765930935
0.13,0.52,-0.0366029853819557,-0.0368335422307528,4,-0.315354925499831,-0.281312605459379,0,-8.43769498715119e-17,-9.041812890342e-17,0,-4.83444311582455e-15,-5.18057717763581e-15,1,1,644.932166975722,609.476646139893,644.932166975722,609.476646139893,644.932166975722,609.476646139893,644.932166975722,609.476646139893
0.14,0.56,-0.039756534636954,-0.0394015283119154,4,-0.291805072469845,-0.255755548295273,0,-1.05818132034585e-16,-1.07384938623834e-16,0,-6.06293236153983e-15,-6.15270376641705e-15,1,1,644.932166975722,616.567750307058,644.932166975722,616.567750307058,644.932166975722,616.567750307058,644.932166975722,616.567750307058
0.15,0.6,-0.0426745853616524,-0.0417124568969645,4,-0.266006382500663,-0.228265986211754,0,-1.27259314197659e-16,-1.25804704162711e-16,0,-7.29142160725511e-15,-7.20807859141524e-15,1,1,644.932166975722,622.240633640791,644.932166975722,622.240633640791,644.932166975722,622.240633640791,644.932166975722,622.240633640791
0.16,0.64,-0.0453346491866591,-0.0437518899168691,4,-0.238393793696394,-0.199292926816337,0,-1.50920942409982e-16,-1.43487679080033e-16,0,-8.64713304022894e-15,-8.2212384234135e-15,1,1,644.932166975722,626.778940307777,644.932166975722,626.778940307777,644.932166975722,626.778940307777,644.932166975722,626.778940307777
0.17,0.68,-0.047718587123623,-0.0455088131457266,4,-0.209320595082468,-0.169199688002239,0,-1.74582570622306e-16,-1.60463335000663e-16,0,-1.00028444732028e-14,-9.19387186213183e-15,1,1,644.932166975722,630.409585641366,644.932166975722,630.409585641366,644.932166975722,630.409585641366,644.932166975722,630.409585641366
0.18,0.72,-0.0498117930744477,-0.0469749535704368,4,-0.1790728345462,-0.138278998567482,0,-1.9824419883463e-16,-1.78891592891747e-16,0,-1.13585559061766e-14,-1.02497332630696e-14,1,1,644.932166975722,633.314101908237,644.932166975722,633.314101908237,644.932166975722,633.314101908237,644.932166975722,633.314101908237
0.19,0.76,-0.0516025214199097,-0.0481442213008469,4,-0.147881537064305,-0.106765788155108,0,-2.24126273096203e-16,-1.98714348674469e-16,0,-1.28414895264089e-14,-1.13854935077381e-14,1,1,644.932166975722,635.637714921734,644.932166975722,635.637714921734,644.932166975722,635.637714921734,644.932166975722,635.637714921734
0.2,0.8,-0.0530813367905527,-0.0490122555327044,4,-0.115932922084944,-0.0748478751601117,0,-2.52228793407028e-16,-2.19875822433161e-16,0,-1.44516453338999e-14,-1.25979566423881e-14,1,1,644.932166975722,637.496605332532,644.932166975722,637.496605332532,644.932166975722,637.496605332532,644.932166975722,637.496605332532
0.21,0.84,-0.0542406660114022,-0.0495760565971421,4,-0.0833768608253956,-0.0426748107420792,0,-2.82551759767102e-16,-2.42322465448787e-16,0,-1.61890233286493e-14,-1.38840545514202e-14,1,1,644.932166975722,638.98371766117,644.932166975722,638.98371766117,644.932166975722,638.98371766117,644.932166975722,638.98371766117
0.22,0.88,-0.0550744346196561,-0.0498336887141602,4,-0.0503338234810782,-0.010365143835141,0,-3.15095172176427e-16,-2.66002870951068e-16,0,-1.80536235106573e-14,-1.52408418438593e-14,1,1,644.932166975722,640.17340752408,644.932166975722,640.17340752408,644.932166975722,640.17340752408,644.932166975722,640.17340752408
0.23,0.92,-0.0555777728544669,-0.0497840404972065,4,-0.0169005530701501,0.0219876435697901,0,-3.49859030635002e-16,-2.88736060233257e-16,0,-2.00454458799238e-14,-1.65433576446007e-14,1,1,644.932166975722,641.125159414408,644.932166975722,641.125159414408,644.932166975722,641.125159414408,644.932166975722,641.125159414408
0.24,0.96,-0.0557467783851684,-0.0494266324317699,4,0.016845321201296,0.0543103075407642,0,-3.84622889093578e-16,-3.12691550151439e-16,0,-2.20372682491903e-14,-1.79159061130808e-14,1,1,644.932166975722,641.886560926671,644.932166975722,641.886560926671,644.932166975722,641.886560926671,644.932166975722,641.886560926671
0.25,1,-0.0555783251731555,-0.0487614624400977,4,0.0508415457017831,0.0865459257540361,0,-4.21607193601403e-16,-3.37820448680174e-16,0,-2.41563128057154e-14,-1.93556859425898e-14,1,1,644.932166975722,642.495682136481,644.932166975722,642.495682136481,644.932166975722,642.495682136481,644.932166975722,642.495682136481
0.26,1.04,-0.0550699097161376,-0.0477888822505929,4,0.0850382213555042,0.118650728514194,0,-4.60811944158479e-16,-3.64075819475041e-16,0,-2.6402579549499e-14,-2.08600078786867e-14,1,1,644.932166975722,642.982979104329,644.932166975722,642.982979104329,644.932166975722,642.982979104329,644.932166975722,642.982979104329
0.27,1.08,-0.0542195275025826,-0.046509498636455,4,0.119395367352613,0.150591539010142,0,-5.02237140764805e-16,-3.89280975438112e-16,0,-2.87760684805412e-14,-2.23041569373397e-14,1,1,644.932166975722,643.372816678608,644.932166975722,643.372816678608,644.932166975722,643.372816678608,644.932166975722,643.372816678608
0.28,1.12,-0.0530255738290565,-0.0449240947039035,4,0.153880959653745,0.182343708210502,0,-5.43662337371131e-16,-4.15609553369941e-16,0,-3.11495574115833e-14,-2.38126733334148e-14,1,1,644.932166975722,643.68468673803,644.932166975722,643.68468673803,644.932166975722,643.68468673803,644.932166975722,643.68468673803
0.29,1.16,-0.051486764232519,-0.0430335673278821,4,0.188469353816855,0.213889450156998,0,-5.87307980026708e-16,-4.43016616391777e-16,0,-3.3650268529884e-14,-2.5382982373415e-14,1,1,644.932166975722,643.934182785569,644.932166975722,643.934182785569,644.932166975722,643.934182785569,644.932166975722,643.934182785569
0.3,1.2,-0.0496020706943505,-0.040838877583172,4,0.223140018153553,0.245216500622411,0,-6.33174068731534e-16,-4.735906533073e-16,0,-3.62782018354432e-14,-2.71347456513517e-14,1,1,644.932166975722,644.133779623599,644.932166975722,644.133779623599,644.932166975722,644.133779623599,644.932166975722,644.133779623599
0.31,1.24,-0.0473706705128149,-0.0383410116290983,4,0.257876516986887,0.276317036457462,0,-6.83481049534862e-16,-5.05073356953483e-16,0,-3.91605795155195e-14,-2.89385716979391e-14,1,1,644.932166975722,644.293457094024,644.932166975722,644.293457094024,644.932166975722,644.293457094024,644.932166975722,644.293457094024
0.32,1.28,-0.0447919053429461,-0.03554095000079,4,0.292665695166498,0.307186804815519,0,-7.3600847638744e-16,-5.35296752453818e-16,0,-4.21701793828544e-14,-3.0670244702663e-14,1,1,644.932166975722,644.421199070363,644.932166975722,644.421199070363,644.932166975722,644.421199070363,644.932166975722,644.421199070363
0.33,1.32,-0.0418652483912811,-0.032439643659985,4,0.327497024342472,0.337824421177608,0,-7.88535903240017e-16,-5.6644284034142e-16,0,-4.51797792501892e-14,-3.24547840869661e-14,1,1,644.932166975722,644.523392651435,644.932166975722,644.523392651435,644.932166975722,644.523392651435,644.932166975722,644.523392651435
0.34,1.36,-0.0385902781478564,-0.0290379954811143,4,0.362362079127912,0.36823080304193,0,-8.43283776141845e-16,-5.96343084713518e-16,0,-4.83166013047826e-14,-3.41679418958971e-14,1,1,644.932166975722,644.605147516292,644.932166975722,644.605147516292,644.932166975722,644.605147516292,644.932166975722,644.605147516292
0.35,1.4,-0.0349666573565772,-0.0253368461083402,4,0.397254117480848,0.398408712594392,0,-8.98031649043673e-16,-6.27178947518013e-16,0,-5.1453423359376e-14,-3.59347066922391e-14,1,1,644.932166975722,644.670551408178,644.932166975722,644.670551408178,644.932166975722,644.670551408178,644.932166975722,644.670551408178
0.36,1.44,-0.0309941161817688,-0.0213369633283164,4,0.43216774465893,0.428362386901698,0,-9.54999967994752e-16,-6.58913004017608e-16,0,-5.4717467601228e-14,-3.77529341964956e-14,1,1,644.932166975722,644.722874521687,644.932166975722,644.722874521687,644.932166975722,644.722874521687,644.932166975722,644.722874521687
