time_s,frame_count,pwm_1_us,pwm_2_us,pwm_3_us,pwm_4_us,motor_cmd_1_radps,motor_cmd_2_radps,motor_cmd_3_radps,motor_cmd_4_radps,state_z_ned_m,est_alt_m,exchange_status
0.0028522,1508,1000,1000,1000,1000,0,0,0,0,0,-0.00094395744,ответная передача
0.1057852,1508,1000,1000,1000,1000,0,0,0,0,0.000981,-0.00282402732860928,ответная передача
0.160756,0,NaN,NaN,NaN,NaN,0,0,0,0,0.002943,-0.00563273846700084,ответная передача
0.1771924,1509,1000,1000,1000,1000,0,0,0,0,0.005886,-0.00936299224473575,ответная передача
0.2194229,0,NaN,NaN,NaN,NaN,0,0,0,0,0.00981,-0.0140080608372245,ответная передача
0.2941958,1509,1000,1000,1000,1000,0,0,0,0,0.014715,-0.0195615848305341,ответная передача
0.3329543,1510,1000,1000,1000,1000,0,0,0,0,0.020601,-0.0260175702992692,ответная передача
0.350286,0,NaN,NaN,NaN,NaN,0,0,0,0,0.027468,-0.0333703853632278,ответная передача
0.3630891,1511,1000,1000,1000,1000,0,0,0,0,0.035316,-0.0416147562484636,ответная передача
0.3762164,0,NaN,NaN,NaN,NaN,0,0,0,0,0.044145,-0.0507457628782755,ответная передача
0.3891686,0,NaN,NaN,NaN,NaN,0,0,0,0,0.053955,-0.0607588340194921,ответная передача
0.3970873,1512,1000,1000,1000,1000,0,0,0,0,0.064746,-0.0716497420092307,ответная передача
0.4110134,0,NaN,NaN,NaN,NaN,0,0,0,0,0.076518,-0.0834145970870848,ответная передача
0.4241577,0,NaN,NaN,NaN,NaN,0,0,0,0,0.089271,-0.0960498413574326,ответная передача
0.4313774,1513,1000,1000,1000,1000,0,0,0,0,0.103005,-0.109552242406266,ответная передача
0.4443956,0,NaN,NaN,NaN,NaN,0,0,0,0,0.11772,-0.123918886596618,ответная передача
0.4567897,0,NaN,NaN,NaN,NaN,0,0,0,0,0.133416,-0.139147172066304,ответная передача
0.4639292,1514,1000,1000,1000,1000,0,0,0,0,0.150093,-0.155234801451323,ответная передача
0.4773908,0,NaN,NaN,NaN,NaN,0,0,0,0,0.167751,-0.172179774357856,ответная передача
0.4907343,0,NaN,NaN,NaN,NaN,0,0,0,0,0.18639,-0.189980379605348,ответная передача
0.5010292,1515,1000,1000,1000,1000,0,0,0,0,0.20601,-0.208635187262737,ответная передача
0.5140286,0,NaN,NaN,NaN,NaN,0,0,0,0,0.226611,-0.228143040499393,ответная передача
0.5259528,0,NaN,NaN,NaN,NaN,0,0,0,0,0.248193,-0.248503047271849,ответная передача
0.5379966,0,NaN,NaN,NaN,NaN,0,0,0,0,0.270756,-0.269714571866892,ответная передача
0.5454796,1516,1000,1000,1000,1000,0,0,0,0,0.2943,-0.29177722632104,ответная передача
0.5587839,0,NaN,NaN,NaN,NaN,0,0,0,0,0.318825,-0.314690861735917,ответная передача
0.571072,0,NaN,NaN,NaN,NaN,0,0,0,0,0.344331,-0.338455559508448,ответная передача
0.5831103,0,NaN,NaN,NaN,NaN,0,0,0,0,0.370818,-0.363071622494258,ответная передача
0.5932117,1517,1000,1000,1000,1000,0,0,0,0,0.398286,-0.388539566122054,ответная передача
0.6075481,0,NaN,NaN,NaN,NaN,0,0,0,0,0.426735,-0.414860109476205,ответная передача
0.6218859,0,NaN,NaN,NaN,NaN,0,0,0,0,0.456165,-0.442034166364129,ответная передача
0.6259034,1518,1000,1000,1000,1000,0,0,0,0,0.486576,-0.470062836384487,ответная передача
0.6383354,0,NaN,NaN,NaN,NaN,0,0,0,0,0.517968,-0.498947396011604,ответная передача
0.6514674,0,NaN,NaN,NaN,NaN,0,0,0,0,0.550341,-0.528689289710894,ответная передача
0.6636722,0,NaN,NaN,NaN,NaN,0,0,0,0,0.583695,-0.559290121099477,ответная передача
0.6695164,1519,1000,1000,1000,1000,0,0,0,0,0.61803,-0.590751644165568,ответная передача
0.6824231,0,NaN,NaN,NaN,NaN,0,0,0,0,0.653346,-0.623075754559565,ответная передача
0.6950083,0,NaN,NaN,NaN,NaN,0,0,0,0,0.689643,-0.656264480969206,ответная передача
0.7049102,1520,1000,1000,1000,1000,0,0,0,0,0.726921,-0.690319976590504,ответная передача
0.71851,0,NaN,NaN,NaN,NaN,0,0,0,0,0.76518,-0.725244510705594,ответная передача
0.7315356,0,NaN,NaN,NaN,NaN,0,0,0,0,0.80442,-0.761040460377998,ответная передача
0.742429,1521,1000,1000,1000,1000,0,0,0,0,0.844641,-0.797710302275239,ответная передача
