time_s,frame_count,sitl_packet_valid,pwm1_us,pwm2_us,pwm3_us,pwm4_us,motor1_radps,motor2_radps,motor3_radps,motor4_radps,altitude_true_m,altitude_est_m,roll_true_rad,pitch_true_rad,yaw_true_rad,roll_est_rad,pitch_est_rad,yaw_est_rad,udp_valid_rx_count,udp_invalid_rx_count,udp_rx_datagram_count
0.0017337,0,0,NaN,NaN,NaN,NaN,0,0,0,0,-0,-0.00094395744,0,0,0,0,0,0,0,0,0
0.0215045,559,1,1000,1000,1000,1000,0,0,0,0,-0.000981,-0.00282402732860928,0,0,0,0,0,0,1,0,1
0.0357229,0,0,NaN,NaN,NaN,NaN,0,0,0,0,-0.002943,-0.00563273846700084,0,0,0,0,0,0,0,0,0
0.0486443,0,0,NaN,NaN,NaN,NaN,0,0,0,0,-0.005886,-0.00936299224473575,0,0,0,0,0,0,0,0,0
0.0538666,560,1,1000,1000,1000,1000,0,0,0,0,-0.00981,-0.0140080608372245,0,0,0,0,0,0,1,0,1
0.068739,0,0,NaN,NaN,NaN,NaN,0,0,0,0,-0.014715,-0.0195615848305341,0,0,0,0,0,0,0,0,0
0.0827876,0,0,NaN,NaN,NaN,NaN,0,0,0,0,-0.020601,-0.0260175702992692,0,0,0,0,0,0,0,0,0
0.0881198,561,1,1000,1000,1000,1000,0,0,0,0,-0.027468,-0.0333703853632278,0,0,0,0,0,0,1,0,1
0.1032833,0,0,NaN,NaN,NaN,NaN,0,0,0,0,-0.035316,-0.0416147562484636,0,0,0,0,0,0,0,0,0
0.1156441,0,0,NaN,NaN,NaN,NaN,0,0,0,0,-0.044145,-0.0507457628782755,0,0,0,0,0,0,0,0,0
0.1247019,562,1,1000,1000,1000,1000,0,0,0,0,-0.053955,-0.0607588340194921,0,0,0,0,0,0,1,0,1
0.1383701,0,0,NaN,NaN,NaN,NaN,0,0,0,0,-0.064746,-0.0716497420092307,0,0,0,0,0,0,0,0,0
0.1521766,0,0,NaN,NaN,NaN,NaN,0,0,0,0,-0.076518,-0.0834145970870848,0,0,0,0,0,0,0,0,0
0.158694,563,1,1000,1000,1000,1000,0,0,0,0,-0.089271,-0.0960498413574326,0,0,0,0,0,0,1,0,1
0.1735026,0,0,NaN,NaN,NaN,NaN,0,0,0,0,-0.103005,-0.109552242406266,0,0,0,0,0,0,0,0,0
0.1872934,0,0,NaN,NaN,NaN,NaN,0,0,0,0,-0.11772,-0.123918886596618,0,0,0,0,0,0,0,0,0
0.1949959,564,1,1000,1000,1000,1000,0,0,0,0,-0.133416,-0.139147172066304,0,0,0,0,0,0,1,0,1
0.2096839,0,0,NaN,NaN,NaN,NaN,0,0,0,0,-0.150093,-0.155234801451323,0,0,0,0,0,0,0,0,0
0.2238227,0,0,NaN,NaN,NaN,NaN,0,0,0,0,-0.167751,-0.172179774357856,0,0,0,0,0,0,0,0,0
0.2282074,565,1,1000,1000,1000,1000,0,0,0,0,-0.18639,-0.189980379605348,0,0,0,0,0,0,1,0,1
0.241289,0,0,NaN,NaN,NaN,NaN,0,0,0,0,-0.20601,-0.208635187262737,0,0,0,0,0,0,0,0,0
0.2550778,0,0,NaN,NaN,NaN,NaN,0,0,0,0,-0.226611,-0.228143040499393,0,0,0,0,0,0,0,0,0
0.2612926,566,1,1000,1000,1000,1000,0,0,0,0,-0.248193,-0.248503047271849,0,0,0,0,0,0,1,0,1
0.2743252,0,0,NaN,NaN,NaN,NaN,0,0,0,0,-0.270756,-0.269714571866892,0,0,0,0,0,0,0,0,0
0.2883549,0,0,NaN,NaN,NaN,NaN,0,0,0,0,-0.2943,-0.29177722632104,0,0,0,0,0,0,0,0,0
0.2951209,567,1,1000,1000,1000,1000,0,0,0,0,-0.318825,-0.314690861735917,0,0,0,0,0,0,1,0,1
0.3094567,0,0,NaN,NaN,NaN,NaN,0,0,0,0,-0.344331,-0.338455559508448,0,0,0,0,0,0,0,0,0
0.3235206,0,0,NaN,NaN,NaN,NaN,0,0,0,0,-0.370818,-0.363071622494258,0,0,0,0,0,0,0,0,0
0.3280201,568,1,1000,1000,1000,1000,0,0,0,0,-0.398286,-0.388539566122054,0,0,0,0,0,0,1,0,1
0.3422253,0,0,NaN,NaN,NaN,NaN,0,0,0,0,-0.426735,-0.414860109476205,0,0,0,0,0,0,0,0,0
0.3559571,0,0,NaN,NaN,NaN,NaN,0,0,0,0,-0.456165,-0.442034166364129,0,0,0,0,0,0,0,0,0
0.3617936,569,1,1000,1000,1000,1000,0,0,0,0,-0.486576,-0.470062836384487,0,0,0,0,0,0,1,0,1
0.3762671,0,0,NaN,NaN,NaN,NaN,0,0,0,0,-0.517968,-0.498947396011604,0,0,0,0,0,0,0,0,0
0.3901066,0,0,NaN,NaN,NaN,NaN,0,0,0,0,-0.550341,-0.528689289710894,0,0,0,0,0,0,0,0,0
