frame_index,time_s,json_timestamp_s,frame_count,exchange_status,prearm_hold_active,parse_ok,required_fields_present,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,position_n,position_e,position_d,velocity_n,velocity_e,velocity_d,quat_w,quat_x,quat_y,quat_z,quat_norm,accel_norm,accel_align_to_minus_gravity,source_accel_x,source_accel_y,source_accel_z,linear_accel_x,linear_accel_y,linear_accel_z,gravity_body_x,gravity_body_y,gravity_body_z,ground_candidate,all_finite,accel_mode,accel_explanation
1,0.0014364,0.01,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
2,0.0259593,0.02,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
3,0.0291013,0.03,517,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
4,0.0420453,0.04,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
5,0.0544859,0.05,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
6,0.0635235,0.06,518,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
7,0.0765293,0.07,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
8,0.0888071,0.08,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
9,0.0998218,0.09,519,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
10,0.1133561,0.1,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
11,0.125387,0.11,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
12,0.1331317,0.12,520,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
13,0.1459207,0.13,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
14,0.1584185,0.14,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
15,0.1663624,0.15,521,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
16,0.1793698,0.16,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
17,0.1917389,0.17,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
18,0.1998147,0.18,522,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
19,0.2128304,0.19,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
20,0.2248984,0.2,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
21,0.2330392,0.21,523,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
