param_name,param_value,is_present,is_expected,status_note
AHRS_ORIENTATION,NaN,0,1,параметр не найден
ARMING_CHECK,NaN,0,1,параметр не найден
INS_ACC2OFFS_X,0.00100000004749745,1,1,
INS_ACC2OFFS_Y,0.00100000004749745,1,1,
INS_ACC2OFFS_Z,0.00100000004749745,1,1,
INS_ACC2SCAL_X,1.00100004673004,1,1,
INS_ACC2SCAL_Y,1.00100004673004,1,1,
INS_ACC2SCAL_Z,1.00100004673004,1,1,
INS_ACC2_ID,0,1,1,экземпляр датчика не активирован
INS_ACC3_ID,0,1,1,экземпляр датчика не активирован
INS_ACCOFFS_X,0.00100000004749745,1,1,
INS_ACCOFFS_Y,0.00100000004749745,1,1,
INS_ACCOFFS_Z,0.00100000004749745,1,1,
INS_ACCSCAL_X,1.00100004673004,1,1,
INS_ACCSCAL_Y,1.00100004673004,1,1,
INS_ACCSCAL_Z,1.00100004673004,1,1,
INS_ACC_ID,2753028,1,1,
INS_ENABLE_MASK,1,1,1,
INS_USE,1,1,1,
INS_USE2,0,1,1,
INS_USE3,0,1,1,
LOG_DISARMED,NaN,0,1,параметр не найден
ARMING_ACCTHRESH,0.75,1,0,
ARMING_MAGTHRESH,100,1,0,
ARMING_MIS_ITEMS,0,1,0,
ARMING_NEED_LOC,0,1,0,
ARMING_OPTIONS,0,1,0,
ARMING_RUDDER,2,1,0,
ARMING_SKIPCHK,0,1,0,
INS_ACC1_CALTEMP,-300,1,0,температурная калибровка не выполнялась
INS_ACC2_CALTEMP,-300,1,0,температурная калибровка не выполнялась
INS_ACC3OFFS_X,0,1,0,
INS_ACC3OFFS_Y,0,1,0,
INS_ACC3OFFS_Z,0,1,0,
INS_ACC3SCAL_X,1,1,0,
INS_ACC3SCAL_Y,1,1,0,
INS_ACC3SCAL_Z,1,1,0,
INS_ACC3_CALTEMP,-300,1,0,температурная калибровка не выполнялась
INS_ACCEL_FILTER,20,1,0,
INS_ACC_BODYFIX,2,1,0,
LOG_BITMASK,180222,1,0,
