phase,time_s,frame_count,pwm_1_us,pwm_2_us,pwm_3_us,pwm_4_us,motor_cmd_1_radps,motor_cmd_2_radps,motor_cmd_3_radps,motor_cmd_4_radps,exchange_status
before_arm,0.001597,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.0382838,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.0520756,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.0650962,507,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.07476,508,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.0885549,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.1009932,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.1081055,509,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.1296836,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.1410329,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.1533012,510,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.1675847,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.1805155,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.18837,511,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.2020636,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.2153002,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.2284855,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.2329327,512,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.2474604,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.2597447,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.2662348,513,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.2805887,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.2931147,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.3026297,514,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.3159427,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.3284742,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.3356332,515,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.3487696,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.3612267,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.3739523,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.3773415,516,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.3904359,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.4031,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.4104609,517,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.4239017,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.4363495,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.4442076,518,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.4583512,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.4710068,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.4841342,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.4974473,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.5099035,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.5203838,519,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.5339812,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.5465171,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.5569153,520,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.5700962,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.5825458,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.594245,521,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.6074149,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.6198194,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.6275417,522,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.6408232,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.6533825,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.6656707,523,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.6788036,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.6913278,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.7020654,524,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.7160364,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.7290415,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
