phase,time_s,frame_count,pwm_1_us,pwm_2_us,pwm_3_us,pwm_4_us,motor_cmd_1_radps,motor_cmd_2_radps,motor_cmd_3_radps,motor_cmd_4_radps,exchange_status
before_arm,3.62e-05,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.0128122,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.0231494,516,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.0620844,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.0753473,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.0880622,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.0970013,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.1101653,517,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.1239586,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.1327985,518,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.1466886,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.1592271,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.1665907,519,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.1806032,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.1928015,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.202128,520,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.2148841,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.2271566,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.2393516,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.2514908,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.2636387,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.2741285,521,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.2875835,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.2999564,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.3109504,522,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.3242116,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.3371534,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.3444431,523,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.3579091,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.3704993,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.3781713,524,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.3914989,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.404043,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.4167898,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.4199558,525,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.4334058,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
