phase,time_s,frame_count,pwm_1_us,pwm_2_us,pwm_3_us,pwm_4_us,motor_cmd_1_radps,motor_cmd_2_radps,motor_cmd_3_radps,motor_cmd_4_radps,exchange_status
before_arm,4.04e-05,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.0131619,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.0200509,496,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.0337289,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.0469771,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.0593812,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.0831149,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.0951128,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.1089068,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.1267018,496,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.1441573,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.1571995,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.1702098,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.1811055,497,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.1961923,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.2084866,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.214727,498,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.2277541,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.2399849,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.2523568,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.264406,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.2764787,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.2876545,499,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.3007198,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.3130509,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.3252845,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.3281424,500,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.341146,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.3539221,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.3663889,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.3761409,501,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.3904058,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.4040203,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.409623,502,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.4232837,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.4357912,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.4441141,503,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.4573827,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.4699412,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.4771877,504,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.4908034,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.5033377,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.5120222,505,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.5250589,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.5381642,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.5482194,506,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.5618704,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.5746205,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.5814547,507,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.5943998,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.6069633,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.6200506,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.6229979,508,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.635542,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.6480099,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.6608391,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.6648069,509,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.6784904,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.6910259,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.7023702,510,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.7154606,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.7278069,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.7362065,511,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.7491939,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.7618195,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.7700409,512,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.7831372,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.7963683,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.8034633,513,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.8164972,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.8288445,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.8367606,514,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.8497072,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.8623286,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.8736779,515,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.8871727,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.8996326,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.9095376,516,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.9232538,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.9369388,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.9445891,517,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.9575542,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.9699895,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.978029,518,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.9911301,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.0039194,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.0165738,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.019174,519,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,1.0322732,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.0451236,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.0526472,520,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,1.065957,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.078892,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.0865241,521,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,1.1012733,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.113652,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.127851,522,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,1.1412054,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.153911,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.1654414,523,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,1.1786435,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.1911587,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.202409,524,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,1.2161772,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.2285798,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.2400113,525,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,1.2547646,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.2678598,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.2743298,526,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,1.2879479,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.3004714,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.3107532,527,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,1.3239612,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.3363937,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.3482004,528,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,1.3624365,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.3747172,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.3816103,529,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,1.3947134,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.4072209,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.4198525,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.426302,530,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,1.4396182,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.453018,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.4608161,531,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,1.4752327,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.4879967,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.4937803,532,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,1.5068575,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.5196983,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.5287905,533,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,1.5424281,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.5552611,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.5645771,534,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,1.5777519,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.5904366,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.5990277,535,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,1.6123723,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.6249487,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.6320525,536,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,1.645615,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.6581141,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.6656531,537,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,1.6790386,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.6916504,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.7026748,538,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,1.717337,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.7298948,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.7366836,539,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,1.7497863,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.7621112,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.7707226,540,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,1.7842145,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.7969686,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.8068815,541,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,1.8199794,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.8323754,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.8396857,542,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,1.8527131,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.8652597,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.8784572,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.8910392,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.9039016,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.9164254,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.9237579,543,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,1.9367846,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.9495282,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.9613505,544,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,1.97437,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.9868122,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,1.9985929,545,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,2.0120407,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,2.0244344,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,2.0358584,546,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,2.0489341,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,2.0614391,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,2.0696526,547,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,2.0826632,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,2.095216,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,2.1031513,548,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,2.1167938,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,2.1298067,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,2.1368702,549,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,2.1501082,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,2.1633335,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,2.1733099,550,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,2.1863626,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,2.1987777,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,2.2076074,551,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,2.2207889,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,2.2332562,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,2.2461221,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,2.2587358,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
