phase,time_s,frame_count,pwm_1_us,pwm_2_us,pwm_3_us,pwm_4_us,motor_cmd_1_radps,motor_cmd_2_radps,motor_cmd_3_radps,motor_cmd_4_radps,exchange_status
before_arm,0.0012885,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.0332932,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.041784,504,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.0556373,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.0685697,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.0809996,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.0951277,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.1078483,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.1154768,505,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.129057,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.1414618,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.1489222,506,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.1621656,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.174748,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.1830278,507,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.1965046,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.2091762,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.2218695,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.2240555,508,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.2375405,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.2504077,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.2586771,509,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.2723373,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.2864761,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.2914906,510,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.3054973,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.318479,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.3276867,511,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.3405314,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.3533164,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.366056,512,1000,1000,1000,1000,0,0,0,0,ответная передача
before_arm,0.382194,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.3948825,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
before_arm,0.4080755,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
