time_s,altitude_m,est_altitude_m,roll_rad,pitch_rad,yaw_rad,yaw_rate_radps,frame_count,pwm_1_us,pwm_2_us,pwm_3_us,pwm_4_us,motor_cmd_1_radps,motor_cmd_2_radps,motor_cmd_3_radps,motor_cmd_4_radps,exchange_status
0.0003955,-0,-0.00094395744,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
0.0209406,-0.000981,-0.00282402732860928,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
0.0336467,-0.002943,-0.00563273846700084,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
0.0462152,-0.005886,-0.00936299224473575,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
0.0589977,-0.00981,-0.0140080608372245,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
0.0639108,-0.014715,-0.0195615848305341,0,0,0,0,1133,1000,1000,1000,1000,0,0,0,0,ответная передача
0.0786384,-0.020601,-0.0260175702992692,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
0.0913667,-0.027468,-0.0333703853632278,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
0.1018017,-0.035316,-0.0416147562484636,0,0,0,0,1134,1000,1000,1000,1000,0,0,0,0,ответная передача
0.1151543,-0.044145,-0.0507457628782755,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
0.1277327,-0.053955,-0.0607588340194921,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
0.1388947,-0.064746,-0.0716497420092307,0,0,0,0,1135,1000,1000,1000,1000,0,0,0,0,ответная передача
0.1517284,-0.076518,-0.0834145970870848,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
0.1650379,-0.089271,-0.0960498413574326,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
0.1724943,-0.103005,-0.109552242406266,0,0,0,0,1136,1000,1000,1000,1000,0,0,0,0,ответная передача
0.1856622,-0.11772,-0.123918886596618,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
0.198015,-0.133416,-0.139147172066304,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
0.2062405,-0.150093,-0.155234801451323,0,0,0,0,1137,1000,1000,1000,1000,0,0,0,0,ответная передача
0.2215683,-0.167751,-0.172179774357856,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
0.2337518,-0.18639,-0.189980379605348,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
0.2403216,-0.20601,-0.208635187262737,0,0,0,0,1138,1000,1000,1000,1000,0,0,0,0,ответная передача
0.2533642,-0.226611,-0.228143040499393,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
0.2656684,-0.248193,-0.248503047271849,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
0.2736797,-0.270756,-0.269714571866892,0,0,0,0,1139,1000,1000,1000,1000,0,0,0,0,ответная передача
0.2865455,-0.2943,-0.29177722632104,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
0.2989971,-0.318825,-0.314690861735917,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
0.3101898,-0.344331,-0.338455559508448,0,0,0,0,1140,1000,1000,1000,1000,0,0,0,0,ответная передача
0.3230285,-0.370818,-0.363071622494258,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
0.335193,-0.398286,-0.388539566122054,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
0.3477819,-0.426735,-0.414860109476205,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
0.3582826,-0.456165,-0.442034166364129,0,0,0,0,1141,1000,1000,1000,1000,0,0,0,0,ответная передача
0.3712407,-0.486576,-0.470062836384487,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
0.384145,-0.517968,-0.498947396011604,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
0.3933547,-0.550341,-0.528689289710894,0,0,0,0,1142,1000,1000,1000,1000,0,0,0,0,ответная передача
0.4064405,-0.583695,-0.559290121099477,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
0.4187448,-0.61803,-0.590751644165568,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
0.4277758,-0.653346,-0.623075754559565,0,0,0,0,1143,1000,1000,1000,1000,0,0,0,0,ответная передача
0.4417112,-0.689643,-0.656264480969206,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
0.4549126,-0.726921,-0.690319976590504,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
0.4682682,-0.76518,-0.725244510705594,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
0.4733039,-0.80442,-0.761040460377998,0,0,0,0,1144,1000,1000,1000,1000,0,0,0,0,ответная передача
0.4868506,-0.844641,-0.797710302275239,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
0.4995247,-0.885843,-0.835256604628109,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
0.5057615,-0.928026,-0.873682019335337,0,0,0,0,1145,1000,1000,1000,1000,0,0,0,0,ответная передача
0.5197911,-0.97119,-0.912989274221809,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
0.532348,-1.015335,-0.953181165457912,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,ответная передача
