time_s,valid_rx_count,response_tx_count,mode,armed,frame_count,pwm_1_us,pwm_2_us,pwm_3_us,pwm_4_us,motor_1_radps,motor_2_radps,motor_3_radps,motor_4_radps,total_thrust_N,total_thrust_to_weight,altitude_m,vertical_speed_up_mps,roll_rad,pitch_rad,yaw_rad,quat_norm
0.0012154,0,0,,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,-0,-0.0981,0,0,0,1
0.0496474,0,0,,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,-0.000981,-0.1962,0,0,0,1
0.0656263,0,0,,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,-0.002943,-0.2943,0,0,0,1
0.0754653,1,1,STABILIZE,0,507,1000,1000,1000,1000,0,0,0,0,0,0,-0.005886,-0.3924,0,0,0,1
0.091978,1,1,STABILIZE,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,-0.00981,-0.4905,0,0,0,1
0.1336741,2,2,STABILIZE,0,508,1000,1000,1000,1000,0,0,0,0,0,0,-0.014715,-0.5886,0,0,0,1
0.1487946,2,2,STABILIZE,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,-0.020601,-0.6867,0,0,0,1
0.1628492,2,2,STABILIZE,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,-0.027468,-0.7848,0,0,0,1
0.1770494,2,2,STABILIZE,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,-0.035316,-0.8829,0,0,0,1
0.1910779,2,2,STABILIZE,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,-0.044145,-0.981,0,0,0,1
0.2051049,2,2,STABILIZE,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,-0.053955,-1.0791,0,0,0,1
0.2192555,2,2,STABILIZE,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,-0.064746,-1.1772,0,0,0,1
0.2334218,3,3,STABILIZE,0,508,1000,1000,1000,1000,0,0,0,0,0,0,-0.076518,-1.2753,0,0,0,1
0.2392037,4,4,STABILIZE,0,509,1000,1000,1000,1000,0,0,0,0,0,0,-0.089271,-1.3734,0,0,0,1
0.2525784,4,4,STABILIZE,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,-0.103005,-1.4715,0,0,0,1
0.2654389,4,4,STABILIZE,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,-0.11772,-1.5696,0,0,0,1
0.2794058,4,4,STABILIZE,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,-0.133416,-1.6677,0,0,0,1
