time_s,valid_rx_count,response_tx_count,mode,armed,frame_count,pwm_1_us,pwm_2_us,pwm_3_us,pwm_4_us,motor_1_radps,motor_2_radps,motor_3_radps,motor_4_radps,total_thrust_N,total_thrust_to_weight,altitude_m,vertical_speed_up_mps,roll_rad,pitch_rad,yaw_rad,quat_norm
0.001549,0,0,,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,-0,-0.0981,0,0,0,1
0.0436188,0,0,,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,-0.000981,-0.1962,0,0,0,1
0.0593295,0,0,,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,-0.002943,-0.2943,0,0,0,1
0.0717088,1,1,,0,504,1000,1000,1000,1000,0,0,0,0,0,0,-0.005886,-0.3924,0,0,0,1
0.086532,1,1,STABILIZE,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,-0.00981,-0.4905,0,0,0,1
0.0991737,1,1,STABILIZE,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,-0.014715,-0.5886,0,0,0,1
0.108114,2,2,STABILIZE,0,505,1000,1000,1000,1000,0,0,0,0,0,0,-0.020601,-0.6867,0,0,0,1
0.1217822,2,2,STABILIZE,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,-0.027468,-0.7848,0,0,0,1
0.1353442,2,2,STABILIZE,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,-0.035316,-0.8829,0,0,0,1
0.1420603,3,3,STABILIZE,0,506,1000,1000,1000,1000,0,0,0,0,0,0,-0.044145,-0.981,0,0,0,1
0.1548912,3,3,STABILIZE,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,-0.053955,-1.0791,0,0,0,1
0.1671116,3,3,STABILIZE,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,-0.064746,-1.1772,0,0,0,1
0.1768301,4,4,STABILIZE,0,507,1000,1000,1000,1000,0,0,0,0,0,0,-0.076518,-1.2753,0,0,0,1
